from,to,text,type_link
bycChair,travisalabanza,RT @travisalabanza: If there are any Black/brown #AlevelResults students who are interested in working in the arts and think a zoom with a working artist who doesnâ€™t have a uni degree etc would be helpful. I have time &amp; you can email me to set one up!,retweet
IffyK2002,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
scorpiotiger77,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
helmut_herberth,CullinaneCarl,RT @CullinaneCarl: A grades at private schools up more than any other school/college type. Eyebrow raising. #AlevelResults https://t.co/CKqsluVUge,retweet
salzo_zx,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
therealkaz01,JerryHicksUnite,"RT @JerryHicksUnite: Massive respect &amp; solidarity : Students marching outside Downing Street
https://t.co/0CdPgR9QDz
#AlevelResults #GavinWilliamsonResign #Eton",retweet
pancakeson,Rozkez67,"RT @Rozkez67: Don't let the Tories distract from what is the REAL news.
ðŸ‘‡

#ToryRapist !!!
#PPEcorruption !!!
#ToryCorruption !!!
#AlevelResults !!!
#coronavirusuk !!!

They are doing their level best though!, using Refugees, Quarantines etc, keep your eyes on the real stories!.
#ToryLiars",retweet
thedefenderuk,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
DebbieQuick9,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
FerreroR0ch,amars_innit,"RT @amars_innit: If there are any queer and/or bme kids that have had their grades downgraded and will be taking their A Levels in October, Iâ€™m happy to help with answering questions or tutoring them in Maths,  F Maths, Physics and Comp Sci #AlevelResults",retweet
ELEAN0RDAISY,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
parisjewell2,crispyhalloumi,RT @crispyhalloumi: Not sure on who changed this but Iâ€™m deadðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ couldnâ€™t of been more accurate tbh #GavinWilliamson #examshambles #AlevelResults https://t.co/IGVt3aYqIC,retweet
CPatrickPlay,NE_Bylines,RT @NE_Bylines: So how did everyone do in their #AlevelResults on this #ResultsDay? https://t.co/kshpr1ju41,retweet
_jjaym,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
garfage,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
AliMoirioMilA,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
oliviajjayne,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
oliviajjayne,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
JaneOdriscoll7,jodietbeck,"RT @jodietbeck: Any #AlevelResults students interested in learning more about campaigning/public affairs/participation work, feel free to msg me! I'm campaigns officer at a women's justice charity + have previously worked in youth justice + in Parliament. Happy to share advice/skills/experience!",retweet
john_stephens67,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
simrandeepkhj,shotbylucynorth,RT @shotbylucynorth: A-levels students march from Downing Street to the Department of Education after 39.1% of students have their grades downgraded #AlevelResults #alevels2020 #alevels #photojournalism #examshambles #examresults2020 #alevelprotest #ExamResults https://t.co/G9z3EaXgp6,retweet
asmanotasthmma,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
travelmad75,Femi_Sorry,"RT @Femi_Sorry: If your university hasn't let you in because your #AlevelResults were downgraded, tweet your case, making sure to tagg the uni, and DM me the tweet and I'll try to retweet as many as I can.
If it achieves nothing else at all, at least you can make your frustration heard.",retweet
TickPritch,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
NoCake4Brexit,CullinaneCarl,RT @CullinaneCarl: A grades at private schools up more than any other school/college type. Eyebrow raising. #AlevelResults https://t.co/CKqsluVUge,retweet
sandraoconnell,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
noacfloz,MrsMcBHistory,"RT @MrsMcBHistory: 21,304 U grades were given to students. A student only gets a U if they write nothing, don't turn up or write complete drivel. How can you give a U to a student who worked hard for 2 years and never even got a chance to take the exam?! #AlevelResults #examshambles",retweet
Vee_raee,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
jmb1256,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
thetenniswriter,CarolineVoaden,"RT @CarolineVoaden: 2020 has seen me lose my job to Brexit, my husb lose his to Covid and daughter 1's much strived for year abroad cut short. The worst of all is seeing daughter 2 robbed of A level grades she deserved. Only this could be fixed if the govt cared enough to do so. #AlevelResults",retweet
Ras63H,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
Mess68G,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
michael33495998,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
discreetsecure,CarolineVoaden,"RT @CarolineVoaden: 2020 has seen me lose my job to Brexit, my husb lose his to Covid and daughter 1's much strived for year abroad cut short. The worst of all is seeing daughter 2 robbed of A level grades she deserved. Only this could be fixed if the govt cared enough to do so. #AlevelResults",retweet
DebiAllen,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
jmb1256,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
Diamondzgirl,svendiggler,RT @svendiggler: I wonder if the Tories will realise that all these kids screwed out of their grades will be eligible to vote very soon #Results2020 #AlevelResults,retweet
BurnBanksy,ElRaynerista,"RT @ElRaynerista: People comparing Gavin Williamson to Frank Spencer. 
Grossly unfair!
Frank was well-meaning... and was able to recognise it when he f_cked up.  #GavinWilliamson #AlevelResults https://t.co/QaBv49JO6c",retweet
Tommywhale1,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
Ali_8k,tes,RT @tes: Legal campaigners @GoodLawProject prepare Judicial review case against @ofqual after receiving a deluge of examples of students impacted by the #alevelresults controversy https://t.co/kjmDITQqr1,retweet
DrCarolPercy,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
G4LMATT,mybluekite,RT @mybluekite: @MichaelRosenYes Itâ€™s one thing to fuck up your exams at the end of year 13 but itâ€™s quite another to be given a U grade because someone in the year above you in school fucked up last year so you were probably going to. #AlevelResults #examshambles,retweet
eleanor_kirby_,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
malinimehra,CarolineVoaden,"RT @CarolineVoaden: 2020 has seen me lose my job to Brexit, my husb lose his to Covid and daughter 1's much strived for year abroad cut short. The worst of all is seeing daughter 2 robbed of A level grades she deserved. Only this could be fixed if the govt cared enough to do so. #AlevelResults",retweet
LisaForey,garethdjevans,"RT @garethdjevans: BLOG: Righting the wrongs of the A-level grading fiasco â€“ why Wales must respond to pupil injustice https://t.co/oqUrVaGteR thoughts on trusting teachers, a broken moderation model, implications for curriculum &amp; what we could have done differently #alevels2020 #AlevelResults",retweet
umeyorheardofme,shotbylucynorth,RT @shotbylucynorth: A-levels students march from Downing Street to the Department of Education after 39.1% of students have their grades downgraded #AlevelResults #alevels2020 #alevels #photojournalism #examshambles #examresults2020 #alevelprotest #ExamResults https://t.co/G9z3EaXgp6,retweet
Emma_Turner75,AlisonMPeacock,RT @AlisonMPeacock: Injustice #AlevelResults â¦@CharteredCollâ© https://t.co/VixkPYKx0o,retweet
SNPsoosie,ElRaynerista,"RT @ElRaynerista: People comparing Gavin Williamson to Frank Spencer. 
Grossly unfair!
Frank was well-meaning... and was able to recognise it when he f_cked up.  #GavinWilliamson #AlevelResults https://t.co/QaBv49JO6c",retweet
LookingGlassD,Miss_NRoberts,"RT @Miss_NRoberts: As a teacher, I can't even find the words to express how furious and heartbroken I am for all of those students today (and inevitably those next week) who have fallen victim of @GavinWilliamson and @BorisJohnson today. It is beyond disgusting #AlevelResults",retweet
G4LMATT,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
Kitkat74685217,cirian75,"RT @cirian75: So far I read 2 on the news and 1 on twitter

That 3 foreign language speakers and writers at fluent level

One Half German 
One Half French 
One 100% Spanish 

Have had their #AlevelResults predicted A

downgraded by the algorithm

To C and D

Speakers &amp; writers at fluent level",retweet
Tamjag_uk,tes,RT @tes: Legal campaigners @GoodLawProject prepare Judicial review case against @ofqual after receiving a deluge of examples of students impacted by the #alevelresults controversy https://t.co/kjmDITQqr1,retweet
petermccue1,gturner1969,"RT @gturner1969: https://t.co/rEpIbip0pY

#AlevelResults 
#WilliamsonResign 
#WilliamsonMustGo",retweet
Rami_London,tes,RT @tes: Legal campaigners @GoodLawProject prepare Judicial review case against @ofqual after receiving a deluge of examples of students impacted by the #alevelresults controversy https://t.co/kjmDITQqr1,retweet
aledprysw,garethdjevans,"RT @garethdjevans: BLOG: Righting the wrongs of the A-level grading fiasco â€“ why Wales must respond to pupil injustice https://t.co/oqUrVaGteR thoughts on trusting teachers, a broken moderation model, implications for curriculum &amp; what we could have done differently #alevels2020 #AlevelResults",retweet
ZulaikhaIqbal1,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
G4LMATT,shes_saturn,"RT @shes_saturn: A*AA downgraded to ABB, with my Cambridge offer essentially gone. I go to an under performing state school ranked inadequate by ofsted and come from a working class family. i thought the system was supposed to be fair? @ofqual 
#examshambles #AlevelResults #alevels2020",retweet
keepsayingit1,MidWalesMike,"RT @MidWalesMike: If you want to stop the #Tory #classwar, boycott the #businesses that help them https://t.co/DdfFWViDvw #Torychaos #Torydonors #ToryCorruption #AlevelResults #alevels2020 #UKPolitics #FridayPolitics #FridayMotivation #FridayThoughts #VoxPolitical #BorisHasFailedTheUK",retweet
andrew_madaras,LBC,"RT @LBC: ""If you were doing Sanskrit at Eton, you would have got your grade put up. If you were set to be the first person from a bog-standard Comprehensive to go to Oxford, you would almost certainly have seen your grade go down. They can fix this NOW.""

@mrjamesob | #AlevelResults https://t.co/1WSueibFdI",retweet
Ali_8k,libfirmstone,RT @libfirmstone: I didnâ€™t think I had been effected by this system as I got into my uni and wasnâ€™t fazed by my results. I was fooled and I have been downgraded in 2 subjects. Please please check now everybody #AlevelResults #examshambles https://t.co/OzUYFEhTXi,retweet
isi_j_ukpo,kIopptimistic,"RT @kIopptimistic: #AlevelResults Predicted A*A*A*. Expcetionally low performing school. No one had ever achieved a Cambridge offer before in my sixth form. Performed at A*A*A consistently. Today, A*AB. Dropped two grades in Sociology. Denied Cambridge place. This is what has happened to me.",retweet
curiocat13,DrJoGrady,"RT @DrJoGrady: A team of expert statisticians were unable to assist @ofqual because their commitment to transparency meant that they wouldnâ€™t sign Ofqualâ€™s demand for a 5 year NDA.ðŸ˜³

#ToryShambles #examshambles #AlevelResults https://t.co/CGnOeM8t6A",retweet
therealkaz01,LBC,"RT @LBC: Nicole's son was predicted ABC for his exams at Harrow, but got EEC instead. 

She told LBC's @toryboypierce it has been a ""non-stop disadvantage"" to have her son educated at an independent school

#AlevelResults 
https://t.co/psPacMUjZN",retweet
AnnieBannister,tes,RT @tes: Legal campaigners @GoodLawProject prepare Judicial review case against @ofqual after receiving a deluge of examples of students impacted by the #alevelresults controversy https://t.co/kjmDITQqr1,retweet
